fred,GROUP
Y033RC1Q027SBEAx,1
WPU0561,6
WPU0531,6
WPSID62,6
WPSID61,6
WPSFD49502,6
WPSFD49207,6
WPSFD4111,6
W875RX1,1
VIXCLSx,13
USWTRADE,3
USTRADE,3
USTPU,3
USSTHPI,4
USSERV,3
USPRIV,3
USPBS,3
USMINE,3
USLAH,3
USINFO,3
USGOVT,3
USGOOD,3
USFIRE,3
USEPUINDXM,12
USEHS,3
USCONS,3
UNRATESTx,3
UNRATELTx,3
UNRATE,3
UNLPNBS,7
UMCSENTx,12
ULCNFB,7
ULCMFG,7
ULCBS,7
UEMPMEAN,3
UEMPLT5,3
UEMP5TO14,3
UEMP27OV,3
UEMP15T26,3
UEMP15OV,3
TWEXAFEGSMTHx,11
TTAABSNNCBx,14
TOTRESNS,9
TOTALSLx,9
TNWMVBSNNCBx,14
TNWMVBSNNCBBDIx,14
TNWBSNNBx,14
TNWBSNNBBDIx,14
TNWBSHNOx,10
TLBSNNCBx,14
TLBSNNCBBDIx,14
TLBSNNBx,14
TLBSNNBBDIx,14
TLBSHNOx,10
TFAABSHNOx,10
TCU,2
TB6SMFFM,8
TB6MS,8
TB6M3Mx,8
TB3SMFFM,8
TB3MS,8
TARESAx,10
TABSNNBx,14
TABSHNOx,10
T5YFFM,8
T1YFFM,8
T10YFFM,8
SRVPRD,3
SPCS20RSA,4
SPCS10RSA,4
SLCEx,1
S&P PE ratio,13
S&P div yield,13
S&P 500,13
RSAFSx,5
RPI,1
REVOLSLx,9
RETAILx,5
REALLNx,9
REALLN,9
RCPHBS,7
PRFIx,1
PPIIDC,6
PPICMM,6
PPIACO,6
PNFIx,1
PERMITW,4
PERMITS,4
PERMITNE,4
PERMITMW,4
PERMIT,4
PCNDx,1
PCESVx,1
PCEPILFE,6
PCEPI,6
PCECTPI,6
PCECC96,1
PCDGx,1
PAYEMS,3
OUTNFB,1
OUTMS,1
OUTBS,1
OPHPBS,7
OPHNFB,7
OPHMFG,7
OILPRICEx,6
NWPIx,10
NONREVSLx,9
NONREVSL,9
NONBORRES,9
NIKKEI225,13
NDMANEMP,3
NASDAQCOM,13
MORTGAGE30US,8
MORTG10YRx,8
MANEMP,3
M2SL,9
M2REAL,9
M1SL,9
M1REAL,9
LNS14000026,3
LNS14000025,3
LNS14000012,3
LNS13023705,3
LNS13023621,3
LNS13023569,3
LNS13023557,3
LNS12032194,3
LIABPIx,10
ISRATIOx,5
IPNMAT,2
IPNCONGD,2
IPMAT,2
IPMANSICS,2
IPFUELS,2
IPFPNSS,2
IPFINAL,2
IPDMAT,2
IPDCONGD,2
IPDBS,6
IPCONGD,2
IPBUSEQ,2
IPB51222S,2
IPB51220SQ,2
IPB51110SQ,2
INVEST,9
INVCQRMTSPL,5
INDPRO,2
IMPGSC1,1
HWIx,3
HWIURATIOx,3
HWIURATIO,3
HWI,3
HOUSTW,4
HOUSTS,4
HOUSTNE,4
HOUSTMW,4
HOUST5F,4
HOUST,4
HOANBS,3
HOAMS,3
HOABS,3
HNOREMQ027Sx,10
GS5,8
GS1TB3Mx,8
GS10TB3Mx,8
GS10,8
GS1,8
GPDICTPI,6
GPDIC1,1
GFDEGDQ188S,14
GFDEBTNx,14
GDPCTPI,6
GDPC1,1
GCEC1,1
FPIx,1
FGRECPTx,1
FEDFUNDS,8
EXUSUKx,11
EXUSEU,11
EXSZUSx,11
EXPGSC1,1
EXJPUSx,11
EXCAUSx,11
DTRSRG3Q086SBEA,6
DTCTHFNM,9
DTCOLNVHFNM,9
DSERRG3Q086SBEA,6
DSERRG3M086SBEA,6
DRIWCIL,9
DREQRG3Q086SBEA,6
DRCARG3Q086SBEA,6
DPIC96,1
DPCERA3M086SBEA,5
DOTSRG3Q086SBEA,6
DONGRG3Q086SBEA,6
DODGRG3Q086SBEA,6
DNDGRG3Q086SBEA,6
DNDGRG3M086SBEA,6
DMOTRG3Q086SBEA,6
DMANEMP,3
DIFSRG3Q086SBEA,6
DHUTRG3Q086SBEA,6
DHLCRG3Q086SBEA,6
DHCERG3Q086SBEA,6
DGOERG3Q086SBEA,6
DGDSRG3Q086SBEA,6
DFXARG3Q086SBEA,6
DFSARG3Q086SBEA,6
DFDHRG3Q086SBEA,6
DDURRG3Q086SBEA,6
DDURRG3M086SBEA,6
DCLORG3Q086SBEA,6
CUSR0000SEHC,6
CUSR0000SAS,6
CUSR0000SAD,6
CUSR0000SAC,6
CUSR0000SA0L5,6
CUSR0000SA0L2,6
CUMFNS,2
CPIULFSL,6
CPITRNSL,6
CPIMEDSL,6
CPILFESL,6
CPIAUCSL,6
CPIAPPSL,6
CPF3MTB3Mx,8
CP3Mx,8
CP3M,8
CONSUMERx,9
CONSPIx,10
CONSPI,10
COMPRNFB,7
COMPRMS,7
COMPAPFFx,8
COMPAPFF,8
CNCFx,14
CMRMTSPLx,5
CLF16OV,3
CLAIMSx,3
CIVPART,3
CES9093000001,3
CES9092000001,3
CES9091000001,3
CES3000000008x,7
CES3000000008,7
CES2000000008x,7
CES2000000008,7
CES1021000001,7
CES0600000008,7
CES0600000007,3
CE16OV,3
BUSLOANSx,9
BUSLOANS,9
BUSINVx,5
BOGMBASEREALx,9
BOGMBASE,9
BAAFFM,8
BAA10YM,8
BAA,8
B021RE1Q156NBEA,1
B020RE1Q156NBEA,1
AWOTMAN,3
AWHNONAG,3
AWHMAN,3
ANDENOx,5
AMDMUOx,5
AMDMNOx,5
AHETPIx,7
ACOGNOx,5
ACOGNO,5
AAAFFM,8
AAA,8
A823RL1Q225SBEA,1
A014RE1Q156NBEA,1
